1	&	249	&	0.005	&	6.169	&	308	&	0.006	&	9.974	&	2204	&	0.046	&	22.301	\\
2	&	248	&	0.005	&	6.194	&	308	&	0.006	&	9.974	&	2214	&	0.046	&	22.201	\\
3	&	249	&	0.005	&	6.169	&	308	&	0.006	&	9.974	&	2204	&	0.046	&	22.301	\\
4	&	249	&	0.005	&	6.169	&	307	&	0.006	&	10.007	&	2204	&	0.046	&	22.301	\\
5	&	249	&	0.005	&	6.169	&	308	&	0.006	&	9.974	&	2204	&	0.046	&	22.301	\\
6	&	248	&	0.005	&	6.194	&	308	&	0.006	&	9.974	&	2204	&	0.046	&	22.301	\\
7	&	248	&	0.005	&	6.194	&	307	&	0.006	&	10.007	&	2204	&	0.046	&	22.301	\\
8	&	248	&	0.005	&	6.194	&	307	&	0.006	&	10.007	&	2204	&	0.046	&	22.301	\\
9	&	249	&	0.005	&	6.169	&	307	&	0.006	&	10.007	&	2204	&	0.046	&	22.301	\\
10	&	249	&	0.005	&	6.169	&	307	&	0.006	&	10.007	&	2204	&	0.046	&	22.301	\\
11	&	248	&	0.005	&	6.194	&	307	&	0.006	&	10.007	&	2204	&	0.046	&	22.301	\\
12	&	248	&	0.005	&	6.194	&	307	&	0.006	&	10.007	&	2204	&	0.046	&	22.301	\\
13	&	248	&	0.005	&	6.194	&	308	&	0.006	&	9.974	&	2204	&	0.046	&	22.301	\\
14	&	248	&	0.005	&	6.194	&	307	&	0.006	&	10.007	&	2204	&	0.046	&	22.301	\\
15	&	249	&	0.005	&	6.169	&	307	&	0.006	&	10.007	&	2204	&	0.046	&	22.301	\\
16	&	249	&	0.005	&	6.169	&	307	&	0.006	&	10.007	&	2204	&	0.046	&	22.301	\\
17	&	249	&	0.005	&	6.169	&	308	&	0.006	&	9.974	&	2204	&	0.046	&	22.301	\\
18	&	249	&	0.005	&	6.169	&	307	&	0.006	&	10.007	&	2204	&	0.046	&	22.301	\\
19	&	248	&	0.005	&	6.194	&	308	&	0.006	&	9.974	&	2204	&	0.046	&	22.301	\\
20	&	248	&	0.005	&	6.194	&	307	&	0.006	&	10.007	&	2204	&	0.046	&	22.301	\\
21	&	249	&	0.005	&	6.169	&	307	&	0.006	&	10.007	&	2214	&	0.046	&	22.201	\\
22	&	249	&	0.005	&	6.169	&	308	&	0.006	&	9.974	&	2204	&	0.046	&	22.301	\\
23	&	249	&	0.005	&	6.169	&	307	&	0.006	&	10.007	&	2204	&	0.046	&	22.301	\\
24	&	249	&	0.005	&	6.169	&	307	&	0.006	&	10.007	&	2204	&	0.046	&	22.301	\\
25	&	249	&	0.005	&	6.169	&	307	&	0.006	&	10.007	&	2204	&	0.046	&	22.301	\\
26	&	248	&	0.005	&	6.194	&	308	&	0.006	&	9.974	&	2204	&	0.046	&	22.301	\\
27	&	249	&	0.005	&	6.169	&	307	&	0.006	&	10.007	&	2204	&	0.046	&	22.301	\\
28	&	249	&	0.005	&	6.169	&	308	&	0.006	&	9.974	&	2204	&	0.046	&	22.301	\\
29	&	249	&	0.005	&	6.169	&	308	&	0.006	&	9.974	&	2204	&	0.046	&	22.301	\\
30	&	249	&	0.005	&	6.169	&	308	&	0.006	&	9.974	&	2204	&	0.046	&	22.301	\\
?rednia	&	249	&	0.005	&	6.178	&	307	&	0.006	&	9.992	&	2205	&	0.046	&	22.295	\\
